No.,Pairing,Media,New Works
1,Sirius Black/Remus Lupin,Harry Potter,12516
2,"Evan ""Buck"" Buckley/Eddie Diaz",9−1−1,12272
3,Aziraphale/Crowley,Good Omens,11043
4,Bakugou Katsuki/Midoriya Izuku,My Hero Academia,9555
5,Dazai Osamu/Nakahara Chuuya,Bungou Stray Dogs,8839
6,Getou Suguru/Gojo Satoru,Jujutsu Kaisen,8134
7,Hermione Granger/Draco Malfoy,Harry Potter,8108
8,Regulus Black/James Potter,Harry Potter,7995
9,Draco Malfoy/Harry Potter,Harry Potter,7926
10,Steve Harrington/Eddie Munson,Stranger Things,6596
11,Castiel/Dean Winchester,Supernatural,6403
12,"Evan ""Buck"" Buckley/Tommy Kinard",9−1−1,6380
13,Alex Claremont-Diaz/Henry Fox-Mountchristen-Windsor,Red White & Royal Blue,5877
14,Angel Dust/Husk,Hazbin Hotel,5825
15,Charlie Magne | Morningstar/Vaggie,Hazbin Hotel,5535
16,Han Jisung/Lee Minho,Stray Kids,5468
17,James Potter/Lily Evans Potter,Harry Potter,5457
18,Astarion/Tav,Baldur's Gate,5413
19,Lán Wàngjī/Wèi Wúxiàn,Módào Zǔshī,5386
20,Alastor/Lucifer Magne | Morningstar,Hazbin Hotel,5364
21,Alhaitham/Kaveh,Genshin Impact,5322
22,Jayce/Viktor,League of Legends,5305
23,Caitlyn/Vi,League of Legends,5293
24,Neuvillette/Wriothesley,Genshin Impact,5093
25,Tartaglia | Childe/Zhongli *Read PS below.,Genshin Impact,4879
26,"John ""Soap"" MacTavish/Simon ""Ghost"" Riley",Call of Duty (Video Games),4665
27,Aventurine/Dr. Ratio,Honkai: Star Rail,4537
28,Edward Teach/Stede Bonnet,Our Flag Means Death,4421
29,Colin Bridgerton/Penelope Featherington,Bridgerton,4313
30,Aizawa Shouta/Yamada Hizashi,My Hero Academia,4045
31,Huā Chéng/Xiè Lián,Tiān Guān Cì Fú,3910
32,Blitzo/Stolas Goetia,Helluva Boss,3850
33,Annabeth Chase/Percy Jackson,Percy Jackson and the Olympians,3821
34,Roronoa Zoro/Vinsmoke Sanji,One Piece,3801
35,Jeon Jungkook/Kim Taehyung | V,BTS,3799
36,Will Graham/Hannibal Lecter,Hannibal,3608
37,Blade/Dan Heng,Honkai: Star Rail,3433
38,Tim Bradford/Lucy Chen,The Rookie,3429
39,Barty Crouch Jr./Evan Rosier,Harry Potter,3256
40,Hermione Granger/Ron Weasley,Harry Potter,3230
41,Marlene McKinnon/Dorcas Meadowes,Harry Potter,3120
42,Charles Leclerc/Max Verstappen,Formula 1 RPF,3089
43,Edwin Paine | Edwin Payne/Charles Rowland,Dead Boy Detectives,3027
44,Nico di Angelo/Will Solace,Percy Jackson and the Olympians,2962
45,Harry Potter/Ginny Weasley,Harry Potter,2953
46,Agatha Harkness/Rio Vidal,Marvel,2934
47,Logan | Worst Wolverine (Deadpool Movies)/Wade Wilson,Marvel,2915
48,Bakugou Katsuki/Kirishima Eijirou,My Hero Academia,2901
49,Ivan/Till,Alien Stage (Web Series),2880
50,Fushiguro Megumi/Itadori Yuuji,Jujutsu Kaisen,2815
51,"James ""Bucky"" Barnes/Steve Rogers",Marvel,2799
52,Alastor/Vox,Hazbin Hotel,2787
53,Harry Potter/Tom Riddle | Voldemort,Harry Potter,2785
54,Sherlock Holmes/John Watson,Sherlock,2742
