brand,product,count
SEPHORA COLLECTION,10 Hour Wear Perfection Foundation,60
MAKE UP FOR EVER,Ultra HD Invisible Cover Foundation,50
Anastasia Beverly Hills,Luminous Foundation,50
FENTY BEAUTY by Rihanna,Pro Filt'r Soft Matte Powder Foundation,50
FENTY BEAUTY by Rihanna,Pro Filt'r Soft Matte Longwear Foundation,50
FENTY BEAUTY by Rihanna,Pro Filt'r Hydrating Longwear Foundation,50
SEPHORA COLLECTION,Best Skin Ever Liquid Foundation,50
Lancôme,Teint Idole Ultra Wear 24H Long Wear Foundation,50
Rare Beauty by Selena Gomez,Liquid Touch Weightless Foundation,48
ZOEVA,Authentik Skin Natural Luminous Foundation,43
Exa,High Fidelity Foundation,43
Juvia's Place,I Am Magic Foundation,42
Dose Of Colors,Meet Your Hue Foundation,42
SMITH & CULT,Veiled Threat Weightless Micro-Blurring Foundation,42
ColourPop,Pretty Fresh Foundation,42
Makeup Revolution,Conceal & Define Full Coverage Foundation,42
MAKE UP FOR EVER,Matte Velvet Skin Full Coverage Foundation,40
It Cosmetics,Your Skin But Better Foundation + Skincare,40
Maybelline,Fit Me Matte + Poreless Liquid Foundation,40
beautyblender,Bounce™ Liquid Whip Long Wear Foundation,40
Gucci,Fluide De Beauté Fini Naturel - Natural Finish Fluid Foundation,40
KVD Vegan Beauty,True Portrait Medium Coverage Shake Foundation,40
TOM FORD,Traceless Soft Matte Foundation,40
TOM FORD,Traceless Foundation Stick,39
HUDA BEAUTY,#FauxFilter Skin Finish Buildable Coverage Foundation Stick,39
Smashbox,Studio Skin 24 Hour Full Coverage Waterproof Foundation,38
Smashbox,Primer + Foundation Customizable Set,37
PAT McGRATH LABS,Sublime Perfection Foundation,36
Natasha Denona,Foundation X+,36
Clinique,Beyond Perfecting Foundation + Concealer,36
Natasha Denona,Transformatte Pore Vanishing Matte Foundation,35
SEPHORA COLLECTION,Matte Perfection Powder Foundation,35
bareMinerals,BAREPRO Performance Wear Powder Foundation,35
bareMinerals,BAREPRO Performance Wear Liquid Foundation Broad Spectrum SPF 20,33
Bite Beauty,Changemaker Supercharged Micellar Foundation,32
Smashbox,Studio Skin 24 Hour Oil-Free Hydra Foundation,32
MAKE UP FOR EVER,Matte Velvet Skin Blurring Powder Foundation,30
HUDA BEAUTY,#FauxFilter Full Coverage Matte Foundation,30
Shiseido,Synchro Skin Self-Refreshing Foundation SPF 30,30
bareMinerals,ORIGINAL Liquid Mineral Foundation Broad Spectrum SPF 20,30
bareMinerals,ORIGINAL Foundation Broad Spectrum SPF 15,30
bareMinerals,I AM AN ORIGINAL GET STARTED® KIT Original Loose Mineral Foundation Customizable Set,30
bareMinerals,Matte Foundation Broad Spectrum SPF 15,30
Armani Beauty,Power Fabric Longwear High Cover Foundation SPF 25,30
Beauty Bakerie,InstaBake Aqua Glass Foundation,30
Origins,Pretty in Bloom™ SPF 20 Flower-Infused Long-Wear Foundation,30
La Mer,The Soft Fluid Long Wear Foundation SPF 20,27
KVD Vegan Beauty,Lock-It Powder Foundation,26
Clinique,Even Better Glow Light Reflecting Makeup Broad Spectrum SPF 15,26
KVD Vegan Beauty,Lock-It Powder Foundation Refills,26
Catrice,HD Liquid Coverage Foundation,26
LORAC,PRO Soft Focus Longwear Foundation,25
Lancôme,Rénergie Lift Makeup Lightweight Liquid Foundation SPF 27,25
Lancôme,Dual Finish Multi-Tasking Lightweight Pressed Powder Foundation,25
Urban Decay Cosmetics,All Nighter Liquid Full Coverage Foundation,24
Armani Beauty,Neo Nude Foundation,24
Pacifica,Alight Clean Foundation,24
MAKE UP FOR EVER,Reboot Active Care Revitalizing Foundation,24
Maybelline,Super Stay Full Coverage Foundation,23
SEPHORA COLLECTION,Matte Perfection Full Coverage Foundation,22
L'Oréal,Infallible Pro-Matte Liquid Longwear Foundation,22
Charlotte Tilbury,Magic Foundation,20
