brand,count
bareMinerals,349
SEPHORA COLLECTION,224
MAKE UP FOR EVER,170
FENTY BEAUTY by Rihanna,150
Lancôme,128
Clinique,119
Smashbox,107
KVD Vegan Beauty,92
Natasha Denona,83
Makeup Revolution,79
TOM FORD,79
Armani Beauty,75
HUDA BEAUTY,69
Maybelline,63
Anastasia Beverly Hills,50
Revlon,50
Rare Beauty by Selena Gomez,48
Shiseido,47
KEVYN AUCOIN,46
ZOEVA,43
Exa,43
Dose Of Colors,42
SMITH & CULT,42
Juvia's Place,42
ColourPop,42
beautyblender,40
Gucci,40
It Cosmetics,40
Benefit Cosmetics,39
La Mer,39
PAT McGRATH LABS,36
Dior,36
Urban Decay Cosmetics,36
Catrice,34
Charlotte Tilbury,32
Bite Beauty,32
Origins,30
Beauty Bakerie,30
Givenchy,26
LORAC,25
Pacifica,24
NUDESTIX,24
CoverGirl,22
L'Oréal,22
Laura Mercier,20
ILIA,18
jane iredale,18
Almay,17
Ofra Cosmetics,16
Kosas,16
Essence,15
florence by mills,15
surratt beauty,14
Juice Beauty,13
Tarte,12
Bobbi Brown,12
HOURGLASS,11
Koh Gen Do,10
Josie Maran,7
AMOREPACIFIC,5
Physicians Formula,4
Marc Jacobs Beauty,3
Erborian,1
Black Up,1
