Word,Count
foundation,2888
skin,550
spf,546
matte,506
powder,406
liquid,401
coverage,330
wear,295
longwear,289
full,239
20,207
stick,194
soft,193
broad,192
spectrum,192
pro,175
perfection,169
hour,165
mineral,165
cover,151
makeup,150
filtr,150
finish,140
barepro,138
15,133
ultra,132
original,120
hydrating,120
long,117
luminous,113
24,105
weightless,102
natural,98
fluid,97
hd,96
velvet,94
tinted,94
pretty,87
25,85
your,82
with,80
traceless,79
teint,76
high,73
better,73
i,72
am,72
conceal,70
studio,70
invisible,70
fauxfilter,69
perfecting,68
performance,68
complexion,68
customizable,67
set,67
beyond,66
fresh,64
magic,62
idole,62
concealer,61
rescue,60
loose,60
light,60
10,60
the,59
clean,58
tint,57
define,54
oilfree,52
30,52
lockit,52
glow,51
24h,51
best,50
ever,50
lightweight,50
colorstay,50
true,48
touch,48
skincare,46
synchro,46
selfrefreshing,46
stay,43
authentik,43
fidelity,43
moisturizer,42
veiled,42
threat,42
microblurring,42
meet,42
hue,42
super,41
bounce,40
whip,40
face,40
portrait,40
medium,40
shake,40
aqua,40
but,40
fit,40
me,40
poreless,40
fluide,40
de,40
beauté,40
fini,40
naturel,40
hello,39
happy,39
buildable,39
waterproof,38
primer,37
sublime,36
x,36
balm,35
transformatte,35
pore,35
vanishing,35
nude,34
even,33
hydra,32
serum,32
changemaker,32
supercharged,32
micellar,32
for,31
power,30
fabric,30
an,30
get,30
started,30
kit,30
lift,30
in,30
bloom,30
flowerinfused,30
blurring,30
instabake,30
glass,30
diorskin,28
forever,28
flawless,27
and,27
radiant,26
reflecting,26
refills,26
focus,25
cushion,25
rénergie,25
27,25
dual,25
multitasking,25
pressed,25
neo,24
all,24
nighter,24
alight,24
reboot,24
active,24
care,24
revitalizing,24
oil,23
infallible,22
promatte,22
make,21
hyaluronic,20
acid,20
smooth,20
glowing,20
undercover,20
40,18
absolute,16
refill,16
etherealist,16
perfect,16
clear,16
combooily,16
custom,16
brightening,15
feels,15
good,15
nourishing,15
like,15
a,15
normaldry,15
surreal,14
wand,14
50,14
couture,14
city,14
milk,14
no,13
mistake,13
compact,13
phytopigments,13
matissime,12
mattifying,12
satte,12
air,12
wonder,12
lifting,12
hydromaniac,12
glowy,12
hydrator,12
travel,12
size,12
21,12
veil,11
blur,11
superbalanced,11
healthy,10
nudies,10
stripped,10
fast,9
base,9
hydrate,8
silk,8
microsmooth,8
baked,8
dreamskin,8
myself,8
olay,8
simply,8
ageless,8
vibrancy,7
argan,7
refresh,7
repairing,7
almost,6
tape,6
babassu,6
foundcealer,6
biome,6
water,6
blend,6
body,6
crema,5
nuda,5
supreme,5
reviving,5
designer,5
smoothing,5
firming,5
color,5
control,5
maestro,3
fusion,3
bb,3
cream,3
smart,3
shade,3
skintone,3
matching,3
mini,2
remarcable,2
concentrate,2
age,1
defense,1
bienfait,1
teinté,1
beauty,1
sunscreen,1
spf20,1
bareskin,1
pure,1
sports,1
shameless,1
youthfullook,1
